;cal_pre_call_number;cal_call_number;cal_eta;cal_etd;cal_rta;cal_rtd;cal_conveyance_registration;callsign;countrycode;cnvname;cal_carrier;cal_place_code;cal_last_place_code;cal_next_place_code
21;408510;;43983,16667;43983,75;;;9484560.0;A8VL6;LR;CAP JACKSON;MAERSK;FRFOS;ITGOA;ESBCN
22;408505;;44000,45833;44000,75;;;9192478.0;OZWP2;DK;NORA MAERSK;MAERSK;FRFOS;ESBCN;ESALG
23;408504;;43999,16667;43999,75;;;9344681.0;A8OH5;LR;SAN ALVARO;SEAGOLINE;FRFOS;ITVDL;ESBCN
24;408497;;43982,75;43983,75;;;9396610.0;D5QX2;LR;ATLANTIC WEST;WORMS;FRFOS;ITSPE;ESBCN
25;408498;;43990,75;43991,75;;;9396610.0;D5QX2;LR;ATLANTIC WEST;WORMS;FRFOS;ITSPE;ESBCN
26;408499;;43996,75;43997,75;;;9396610.0;D5QX2;LR;ATLANTIC WEST;WORMS;FRFOS;ITSPE;ESBCN
27;408479;;43997,45833;43998,04167;;;9633965.0;3EOT8;PA;CAP SAN TAINARO;MAERSK;FRFOS;ESVLC;ITVDL
28;408478;;44004,16667;44004,75;;;9443580.0;V7A2726;MH;SYNERGY ANTWERP;MAERSK;FRFOS;ITGOA;ESBCN
29;408468;;44004,08333;44004,66667;;;9443580.0;V7A2726;MH;SYNERGY ANTWERP;HAPAG;FRFOS;ITGOA;ESBCN
30;408466;;43997,08333;43997,66667;;;9143544.0;DGSE;DE;KOBE EXPRESS;HAPAG;FRFOS;ITGOA;ESBCN
31;408467;;44011,08333;44011,66667;;;9200823.0;VRMW7;HK;HALIFAX EXPRESS;HAPAG;FRFOS;ITGOA;ESBCN
32;408465;;43990,08333;43990,66667;;;9200811.0;VRMU9;HK;OAKLAND EXPRESS;HAPAG;FRFOS;ITGOA;ESBCN
33;408464;;43975,16667;43975,5;;;9362956.0;V2CG3;AG;HOHEWEG;SEAGOLINE;FRFOS;ITSPE;ESBCN
34;408463;301461.0;43967,54167;43968,11458;43967,54082;43968,15122;9264740.0;V2BF5;AG;ATLANTIS;SEAGOLINE;FRFOS;ITSPE;ESBCN
35;408453;;43990,08333;43990,79167;;;9307231.0;VRCC6;HK;XIN SHANGHAI;COSCO;FRFOS;ESBCN;ITGOA
36;408451;;43970,375;43970,79167;;;9451721.0;9HA3929;MT;NEPTUNE HORIZON;MARMEDSA;FRFOS;FRMRS;FRSET
37;408449;;43972,16736;43973,75;;;9287417.0;IBHA;IT;GRANDE ANVERSA;AMARSUD;FRFOS;ITLIV;ESVLC
38;408442;;44005,375;44006,04167;;;9610157.0;VRLU9;HK;LIVORNO EXPRESS;HAPAG;FRFOS;ITGOA;ESAGP
39;408406;301469.0;43968,5;43969,78125;43968,50839;43969,83813;9203576.0;DSMZ8;KP;ASIAN MAJESTY;WILHELMSEN;FRFOS;ITLIV;FRLEH
40;408405;;44006,08333;44007,75;;;9466245.0;VRIR7;HK;COSCO GLORY;COSCO;FRFOS;ITGOA;ESVLC
41;408404;;43999,08333;44000,75;;;9472153.0;VRIV3;HK;COSCO PRIDE;COSCO;FRFOS;ITGOA;ESVLC
42;408358;301403.0;43961,29167;43963,70833;43961,32523;43963,75;9197375.0;PCGM;NL;SINGELGRACHT;AGENA;FRFOS;USPCV;ESESC
43;408349;;44006,08333;44006,75;;;9365831.0;V7PR8;MH;APOSTOLOS II;ARKAS;FRFOS;ITGOA;ESBCN
44;408348;;44001,08333;44001,75;;;9491850.0;TCZK8;TR;GULBENIZ A;ARKAS;FRFOS;ESBCN;GRPIR
45;408337;;43998,375;43999,04167;;;9626041.0;VRLX5;HK;GENOA EXPRESS;HAPAG;FRFOS;ITGOA;ESAGP
46;408338;;44004,08333;44004,875;;;9349526.0;A9HX;LR;MAYSSAN;HAPAG;FRFOS;ESBCN;ITGOA
47;408336;;43991,375;43991,875;;;9610169.0;VRLX4;HK;DETROIT EXPRESS;HAPAG;FRFOS;ITGOA;ESAGP
48;408335;;43984,375;43984,875;;;9232565.0;DDSD2;DE;LIVERPOOL EXPRESS;HAPAG;FRFOS;ITGOA;ESAGP
49;408333;;43983,08333;43983,75;;;9229855.0;DGHX;DE;BERLIN EXPRESS;HAPAG;FRFOS;ESBCN;ITGOA
50;408324;;43992,16667;43992,75;;;9344564.0;9HA3880;MT;OREGON TRADER;SEAGOLINE;FRFOS;ITVDL;ESBCN
51;408320;;43993,45833;43993,75;;;9356139.0;OZDK2;DK;MAERSK NORFOLK;MAERSK;FRFOS;ESBCN;ESALG
52;408313;;43974,16667;43974,75;;;9180968.0;3EAZ;PA;MSC SHEILA;MSC;FRFOS;ITGIT;DZALG
53;408296;;43962,10417;43962,66667;;;9250995.0;9HA3802;MT;DIMITRA C;HAPAG;FRFOS;ITGOA;ESBCN
54;408310;;43981,16667;43982,16667;;;9281267.0;H3RF;PA;MSC ORNELLA;MSC;FRFOS;ITGIT;ESVLC
55;408309;;43979,16667;43980,16667;;;9710426.0;3FAI9;PA;MSC ANZU;MSC;FRFOS;ITSPE;ESVLC
56;408291;;43987,16667;43987,75;;;9356127.0;OZDJ2;DK;MAERSK NEWPORT;SEAGOLINE;FRFOS;ESBCN;GRPIR
57;408290;;43985,16667;43985,75;;;9192442.0;OYVQ2;DK;NELE MAERSK;SEAGOLINE;FRFOS;ITVDL;ESBCN
58;408289;;43986,45833;43986,75;;;9220885.0;OVYB2;DK;NEXOE MAERSK;MAERSK;FRFOS;ESBCN;ESALG
59;408287;;44001,66667;44003,45833;;;9632014.0;S6NV;SG;APL MERLION;CMACGM;FRFOS;ESBCN;ITGOA
60;408282;;43976,08333;43976,79167;;;9396610.0;D5QX2;LR;ATLANTIC WEST;WORMS;FRFOS;ITSPE;ESBCN
61;408281;301471.0;43968,66667;43969,36458;43968,65392;43969,4212;9396610.0;D5QX2;LR;ATLANTIC WEST;WORMS;FRFOS;ITSPE;ESBCN
62;408276;;44011,66667;44012,75;;;9299630.0;5BLX5;FR;CMA CGM NABUCCO;CMACGM;FRFOS;ESALG;ITGOA
63;408275;;44015,66667;44017,45833;;;9410765.0;2CRJ3;GB;CMA CGM CASSIOPEIA;CMACGM;FRFOS;ESBCN;ITGOA
64;408272;301404.0;43961,52083;43962,35417;43961,51957;43962,4167;9396610.0;D5QX2;LR;ATLANTIC WEST;WORMS;FRFOS;ITSPE;ESBCN
65;408236;301427.0;43964,29167;43964,69792;43964,29028;43964,74797;9440095.0;9HA2350;MT;NEPTUNE ODYSSEY;MARMEDSA;FRFOS;TNLGN;FRMRS
66;408237;301440.0;43965,375;43965,75;43965,38517;;9736808.0;C6CF7;BS;GLOVIS STAR;MARMEDSA;FRFOS;SIKOP;ESTAR
67;408228;;43998,16667;43999,04167;;;9632208.0;9V9925;SG;APL DETROIT;CMACGM;FRFOS;FRLEH;ITSPE
68;408204;;44008,66667;44010,45833;;;9399208.0;9HA2057;MT;CMA CGM LEO;CMACGM;FRFOS;ESBCN;ITGOA
69;408200;301352.0;43956,16667;43959,40625;43956,17272;43959,46263;9207261.0;TCDR;TR;DENIZHAN BAYRAKTAR;AGENA;FRFOS;PTAVE;ILASH
70;408177;;43986,16667;43987,16667;;;9203954.0;H3LV;PA;MSC SANDRA;MSC;FRFOS;ITGOA;ESVLC
71;408167;;43984,16667;43985,16667;;;9290282.0;3EA02;PA;MSC RACHELE;MSC;FRFOS;FRLEH;ITSPE
72;408160;;43962,125;43962,5;;;9438717.0;SVBS2;GR;NEPTUNE KEFALONIA;MARMEDSA;FRFOS;ESBCN;ITLIV
73;408129;;43982,45833;43983,04167;;;9085558.0;D5RL4;LR;MAERSK KARLSKRONA;MAERSK;FRFOS;ESVLC;ITVDL
74;408123;;43963,16667;43964,5;;;9362956.0;V2CG3;AG;HOHEWEG;SEAGOLINE;FRFOS;ITSPE;ESBCN
75;408116;;43971,08333;43971,75;;;9366483.0;9V3933;SG;ASIATIC ISLAND;ZIM;FRFOS;ILASH;ITGOA
76;408075;301338.0;43954,125;43954,26042;43954,12341;43954,29784;9138355.0;2HEP7;GB;K-RIVER;SEAGOLINE;FRFOS;ITSPE;ESBCN
77;408066;301286.0;43949,10417;43949,5625;43949,10351;43949,62568;8715869.0;HPQE;PA;MSC FEDERICA;MSC;FRFOS;ESVLC;ITSPE
78;407998;301465.0;43967,79167;43970,125;43967,79079;;9741449.0;7KBK;PA;NYK OWL;ONE;FRFOS;ITGOA;ITGOA
79;407995;;43974,66667;43975,66667;;;9141297.0;D5GE9;LR;MSC ROCHELLE;MSC;FRFOS;TRTEK;ESBCN
80;407965;;43972,66667;43973,25;;;9605243.0;VRMO7;HK;MSC ALGECIRAS;MSC;FRFOS;ITSPE;ESVLC
81;407964;301447.0;43965,77083;43966,4375;43965,76944;43966,49058;9349813.0;3EQT;PA;MSC CARMEN;MSC;FRFOS;ESLPA;ESBCN
82;407960;;43972,08333;43972,66667;;;9330238.0;D5EVF4;LR;VEGA EPSILON;MSC;FRFOS;ITSPE;ESBCN
83;407953;;44071,66667;44073,375;;;9622617.0;VRLQ4;HK;OOCL FRANCE;OOCL;FRFOS;ESBCN;ITGOA
84;407949;;43987,66667;43989,375;;;9622617.0;VRLQ4;HK;OOCL FRANCE;OOCL;FRFOS;ESBCN;ITGOA
85;407950;;44025,66667;44026,54167;;;9300805.0;VRBX7;HK;OOCL EUROPE;OOCL;FRFOS;ESALG;ITGOA
86;407952;;44067,66667;44068,54167;;;9300805.0;VRBX7;HK;OOCL EUROPE;OOCL;FRFOS;ESALG;ITGOA
87;407951;;44029,66667;44031,66667;;;9627980.0;VRME7;HK;OOCL MALAYSIA;OOCL;FRFOS;ESBCN;ITGOA
88;407947;301462.0;43967,66667;43968,375;43967,66285;43968,45861;9351579.0;3EOC;PA;MSC TAMARA;MSC;FRFOS;TRTEK;ESBCN
89;407946;;43968,41667;43968,75;;;9702273.0;CQZF;PT;MSC ANTONELLA;MSC;FRFOS;ITSPE;ESVLC
90;407945;;43979,08333;43979,79167;;;9235050.0;H9MW;PA;MSC ALYSSA;MSC;FRFOS;ITGIT;ESVLC
91;407944;;43971,375;43972,08333;;;9336048.0;3EKJ3;PA;MSC SINDY;MSC;FRFOS;FRLEH;ITSPE
92;407926;301279.0;43948,27083;43948,79167;43948,2644;43948,83542;9419747.0;3FIR7;PA;DONG-A METIS;MARMEDSA;FRFOS;SIKOP;ESTAR
93;407829;301205.0;43940,8125;43942,63542;43940,80506;43942,68226;9318527.0;IBX3;IT;GRANDE COLONIA;AMARSUD;FRFOS;ITSAL;ITLIV
94;407772;;43978,16667;43980,04167;;;9728928.0;9HA4287;MT;TITAN;EVERGREEN;FRFOS;ITGOA;ESVLC
95;407743;;43979,45833;43979,75;;;9220897.0;OWVI2;DK;NYSTED MAERSK;MAERSK;FRFOS;ESBCN;ESALG
96;407742;;43975,45833;43976,04167;;;9315238.0;S6CH4;SG;MAERSK SEBAROK;MAERSK;FRFOS;ESVLC;ITVDL
97;407741;;43971,16667;43971,75;;;9344681.0;A8OH5;LR;SAN ALVARO;SEAGOLINE;FRFOS;ITGOA;ESBCN
98;407732;301159.0;43935,71875;43936,33333;43935,71862;43936,32948;9450648.0;FLSU;FR;CMA CGM ALMAVIVA;CMACGM;FRFOS;USCHS;EGPSD
99;407717;301470.0;43968,5625;43970,45833;43968,55604;;9739680.0;VRPJ7;HK;MAERSK GENOA;MAERSK;FRFOS;ESVLC;ITGOA
100;407707;;43971,16667;43971,75;;;9356127.0;OZDJ2;DK;MAERSK NEWPORT;SEAGOLINE;FRFOS;ESBCN;GRPIR
101;407683;;44011,16667;44012,04167;;;9406647.0;9HA2362;MT;CMA CGM RACINE;CMACGM;FRFOS;ESBCN;ITGOA
102;407670;;43982,08333;43983,75;;;9491850.0;TCZK8;TR;GULBENIZ A;ARKAS;FRFOS;ESBCN;ESBCN
103;407671;;43978,08333;43978,75;;;9365831.0;V7PR8;MH;APOSTOLOS II;ARKAS;FRFOS;ITGOA;ESBCN
104;407669;301406.0;43962,10417;43962,79167;43962,09975;43962,8441;9491850.0;TCZK8;TR;GULBENIZ A;ARKAS;FRFOS;ESBCN;GRPIR
105;407651;;43977,16667;43978,04167;;;9597501.0;9V9918;SG;APL PHOENIX;CMACGM;FRFOS;FRLEH;ITSPE
106;407650;;43997,75;43998,75;;;9299783.0;FMEL;FR;CMA CGM TOSCA;CMACGM;FRFOS;ESALG;ITGOA
107;ABAZIM07042001;;43951,08333;43951,5;;;9326952.0;CQBP;PT;TROUPER;COSCO;FRFOS;ILHFA;ITGOA
108;ABAGREEN07042001;;43951,41667;43951,75;;;9467251.0;VRIE8;HK;CSCL VENUS;EVERGREEN;FRFOS;ITGOA;ESVLC
109;407642;;43977,375;43978,04167;;;9626053.0;VRLX6;HK;BARCELONA EXPRESS;HAPAG;FRFOS;ITGOA;ESAGP
110;407640;;43971,08333;43971,66667;;;9232589.0;DDSC2;DE;GLASGOW EXPRESS;HAPAG;FRFOS;ITGOA;ESAGP
111;407637;;43980,66667;43982,45833;;;9399222.0;9HA2146;MT;CMA CGM TITAN;CMACGM;FRFOS;ESBCN;ITGOA
112;407632;;43978,66667;43979,25;;;9200809.0;VRNE9;HK;SINGAPORE EXPRESS;HAPAG;FRFOS;ITGOA;ESBCN
113;407630;301472.0;43969,10417;43969,72917;43969,10164;43969,83333;9143556.0;ZCEV4;DE;DUESSELDORF EXPRESS;HAPAG;FRFOS;ITGOA;ESBCN
114;407629;301344.0;43954,79167;43955,66667;43954,79279;43955,714;9224300.0;VRBH6;HK;SEASPAN HAMBURG;HAPAG;FRFOS;ITGOA;ESBCN
115;407631;;44004,08333;44004,625;;;9193290.0;DGTX;DE;TOKYO EXPRESS;HAPAG;FRFOS;ITGOA;ESBCN
116;407605;301441.0;43965,375;43966,11458;43965,37289;43966,16384;9192478.0;OZWP2;DK;NORA MAERSK;MAERSK;FRFOS;ESBCN;ESALG
117;407604;301407.0;43962,125;43962,60417;43962,12412;43962,66667;9484572.0;A8VL7;LR;CAP JERVIS;MAERSK;FRFOS;ITGOA;ESBCN
118;407603;;43950,16667;43950,5;;;9138355.0;2HEP7;GB;K-RIVER;SEAGOLINE;FRFOS;ITSPE;ESBCN
119;407600;;43983,66667;43984,75;;;9300805.0;VRBX7;HK;OOCL EUROPE;OOCL;FRFOS;ESALG;ITGOA
120;407591;;43985,08333;43987,08333;;;9737462.0;3EJB3;PA;TAMPA TRIUMPH;EVERGREEN;FRFOS;ITGOA;ESVLC
121;407588;301361.0;43957,10417;43957,64583;43957,10308;43957,69472;9366483.0;9V3933;SG;ASIATIC ISLAND;ZIM;FRFOS;ILHFA;ITGOA
122;407589;;43985,08333;43987,08333;;;9134593.0;V7LZ7;MH;TAURUS 1;EVERGREEN;FRFOS;ITGOA;ESVLC
123;407579;;43976,66667;43977,66667;;;9450416.0;DGWF2;DE;VIENNA EXPRESS;HAPAG;FRFOS;ESALG;ITGOA
124;407581;;43990,66667;43991,625;;;9295268.0;DCUJ2;DE;CHICAGO EXPRESS;HAPAG;FRFOS;ESALG;ITGOA
125;407566;301401.0;43961,17708;43963,75;43961,17281;43963,81295;9820908.0;HPFB;PA;YM WELLBEING;CLB;FRFOS;ITGOA;GRPIR
126;407563;;43934,08333;43934,75;;;9784037.0;IBOW;IT;GRANDE BALTIMORA;AMARSUD;FRFOS;ITSAL;ESBCN
127;407552;301396.0;43960,375;43961,11458;43960,37444;43961,1797;9279977.0;H8FC;PA;MSC POH LIN;MSC;FRFOS;ITGIT;ESBCN
128;407551;301390.0;43959,66667;43960,41667;43959,66008;43960,47912;9702261.0;3EMU;PA;MSC SARA ELENA;MSC;FRFOS;ITSPE;ESVLC
129;407550;301371.0;43958,10417;43958,3125;43958,10505;43958,37179;9203942.0;3FYW9;PA;MSC ANIELLO;MSC;FRFOS;ITGOA;ESVLC
130;407549;301421.0;43963,79167;43964,35417;43963,7913;43964,4113;9290531.0;3EBT6;PA;MSC PAMELA;MSC;FRFOS;FRLEH;ITSPE
131;407548;;43962,54167;43962,95833;43962,54336;43963,31458;9327580.0;LYBD;LT;KANTATA;MSC;FRFOS;ITSPE;DZALG
132;407510;301424.0;43964,16667;43964,72917;43964,16284;43964,78479;9344564.0;9HA3880;MT;OREGON TRADER;SEAGOLINE;FRFOS;ITGOA;ESBCN
133;407509;;43981,75;43983,5;;;9525900.0;9HA2983;MT;MALIK AL ASHTAR;HAPAG;FRFOS;ITSPE;ITGOA
134;407508;301377.0;43958,53125;43961,11458;43958,53013;43961,18659;9525883.0;9HA2952;MT;ALULA;HAPAG;FRFOS;ITGOA;GRPIR
135;407505;301373.0;43958,375;43959,11458;43958,37574;43959,16484;9356139.0;OZDK2;DK;MAERSK NORFOLK;MAERSK;FRFOS;ESBCN;ESALG
136;407498;301348.0;43955,69792;43956,41667;43955,69236;43956,48069;9315240.0;S6CH5;SG;MAERSK SENANG;MAERSK;FRFOS;ESVLC;ITVDL
137;407481;301294.0;43949,41667;43950,11458;43949,41942;43950,16117;9307229.0;C4NK2;CY;PUSAN C;MSC;FRFOS;FRLEH;ITSPE
138;407463;301095.0;43929,17708;43929,5;43929,18652;43929,55238;9440095.0;9HA2350;MT;NEPTUNE ODYSSEY;MARMEDSA;FRFOS;MTMLA;ESBCN
139;407462;301056.0;43925,75;43927,45833;43925,7516;43927,51396;9451006.0;V2ER2;MH;MEDITERRANEAN SEA;MARMEDSA;FRFOS;MAPTM;GRPIR
140;407442;301434.0;43964,625;43965,66667;43964,62236;43965,72231;9516478.0;VRNP8;HK;COSCO DENMARK;COSCO;FRFOS;ITGOA;ESVLC
141;407441;301382.0;43959,1875;43961,79167;43959,18973;43961,85047;9472177.0;VRJA4;HK;COSCO HARMONY;COSCO;FRFOS;ITGOA;ESVLC
142;407429;301362.0;43957,125;43957,70833;43957,12363;43957,76749;9406960.0;9HA3437;MT;GLUECKSBURG;SEAGOLINE;FRFOS;ITGOA;ESBCN
143;407430;301308.0;43951,09375;43951,69792;43951,09169;43951,73819;9220885.0;OVYB2;DK;NEXOE MAERSK;MAERSK;FRFOS;ESBCN;ESALG
144;407428;;43950,16667;43950,5;;;9362956.0;V2CG3;AG;HOHEWEG;SEAGOLINE;FRFOS;ITSPE;ESBCN
145;407414;301337.0;43954,10417;43954,6875;43954,08955;43954,74133;9110377.0;3EZB4;PA;MSC SAMANTHA;MSC;FRFOS;ITGIT;ESBCN
146;407413;;43963,375;43965,75;;;9704984.0;3FRZ7;PA;MSC NAOMI;MSC;FRFOS;ITSPE;ESVLC
147;407411;301325.0;43952,3125;43953,375;43952,31556;43953,44792;9327580.0;LYBD;LT;KANTATA;MSC;FRFOS;ITSPE;DZALG
148;407410;301327.0;43952,32292;43953,69792;43952,32551;43953,75182;9349796.0;D5BL4;LR;MSC MONTEREY;MSC;FRFOS;ITGOA;ESVLC
149;407408;301345.0;43955,36458;43956,75;43955,3677;43956,81154;9475258.0;A8ZE4;LR;MSC TARANTO;MSC;FRFOS;ITGOA;ESVLC
150;407385;301419.0;43963,65625;43964,20833;43963,65902;43964,26241;9610157.0;VRLU9;HK;LIVORNO EXPRESS;HAPAG;FRFOS;ITGOA;ESAGP
151;407383;;43949,41667;43950,08333;;;9610169.0;VRLX4;HK;DETROIT EXPRESS;HAPAG;FRFOS;ITGOA;ESAGP
152;407384;301372.0;43958,11458;43958,72917;43958,11477;43958,78815;9626041.0;VRLX5;HK;GENOA EXPRESS;HAPAG;FRFOS;ITGOA;ESAGP
153;407382;301370.0;43957,61111;43958,79167;43957,61431;43958,85113;9229843.0;DHEB;DE;NINGBO EXPRESS;HAPAG;FRFOS;ESBCN;ITGOA
154;407356;300990.0;43919,20833;43920,4375;43919,20332;43920,4931;9104263.0;9HA2388;MT;SEA AMAZON;AFCC;FRFOS;ESTAR;GRPIR
155;407328;301226.0;43943,11458;43943,70833;43943,10978;43943,74697;9366483.0;9V3933;SG;ASIATIC ISLAND;ZIM;FRFOS;ILHFA;ITGOA
156;407291;301122.0;43932,4375;43935,5;43932,43736;43935,55578;9736810.0;C6CF6;BS;GLOVIS SIGMA;MARMEDSA;FRFOS;SIKOP;ESTAR
157;407290;301059.0;43926,16667;43927,72917;43926,15933;43927,77145;9158604.0;D7OR;KR;GLOVIS CHORUS;MARMEDSA;FRFOS;ITLIV;ESTAR
158;407281;;43950,45833;43951,04167;;;9252577.0;DCPX2;DE;NORTHERN MONUMENT;MAERSK;FRFOS;ESVLC;ITVDL
159;407271;301001.0;43920,375;43922,45833;43920,37432;43922,51797;9247936.0;IBZI;IT;GRANDE ROMA;AMARSUD;FRFOS;ITLIV;ITCVV
160;407262;;43969,66667;43971,11458;43969,66359;;9299630.0;5BLX5;FR;CMA CGM NABUCCO;CMACGM;FRFOS;ESALG;ITGOA
161;407264;;43955,20833;43956,20833;;;9406635.0;9HA2360;MT;CMA CGM RABELAIS;CMACGM;FRFOS;ESBCN;ITGOA
162;407263;301357.0;43956,375;43957,32292;43956,37383;43957,37198;9674543.0;9WCY2;MT;CMA CGM RHONE;CMACGM;FRFOS;FRLEH;ITSPE
163;407265;;43970,375;43972,45833;;;9409194.0;2DMF2;GB;CMA CGM LAMARTINE;CMACGM;FRFOS;ESBCN;ITGOA
164;407260;301450.0;43966,375;43967,75;43966,37444;43967,799;9410777.0;2CXY9;GB;CMA CGM CENTAURUS;CMACGM;FRFOS;ITGOA;MTMLA
165;407261;;43973,08333;43974,45833;;;9410791.0;2DD09;GB;CMA CGM GEMINI;CMACGM;FRFOS;ESBCN;ITGOA
166;407259;301354.0;43956,25;43958,48958;43956,24554;43958,54785;9410789.0;2DBC9;GB;CMA CGM COLUMBA;CMACGM;FRFOS;ESVLC;ITGOA
167;407238;301208.0;43941,10417;43941,66667;43941,10597;43941,7291;9193288.0;DGAF;DE;DALLAS EXPRESS;HAPAG;FRFOS;ITGOA;ESBCN
168;407239;301276.0;43948,10417;43948,75;43948,14236;43948,80208;9193317.0;DMRX;DE;ROTTERDAM EXPRESS;HAPAG;FRFOS;ITGOA;ESBCN
169;407236;301304.0;43950,45833;43951,39583;43950,45947;43951,44396;9356127.0;OZDJ2;DK;MAERSK NEWPORT;SEAGOLINE;FRFOS;ESBCN;GRPIR
170;407235;301259.0;43946,09375;43946,72917;43946,09332;43946,78493;9220897.0;OWVI2;DK;NYSTED MAERSK;MAERSK;FRFOS;ESBCN;ESALG
171;407216;301248.0;43944,79167;43945,48958;43944,7898;43945,55454;9309459.0;3EEI3;PA;MSC SILVANA;MSC;FRFOS;ITSPE;ESVLC
172;407217;;43949,66667;43950,45833;;;9320403.0;3EBO9;PA;MSC LORENA;MSC;FRFOS;TRTEK;ESBCN
173;407213;301271.0;43947,375;43949,70833;43947,36566;43949,77892;9469560.0;3FZP9;PA;MSC TERESA;MSC;FRFOS;ITGOA;ESVLC
174;407215;301246.0;43944,65625;43945,11458;43944,65481;43945,1992;9202649.0;3FZP8;PA;MSC DIEGO;MSC;FRFOS;ITGOA;ESVLC
175;407214;301234.0;43944,10417;43944,41667;43944,10259;43944,45949;9330238.0;D5EVF4;LR;VEGA EPSILON;MSC;FRFOS;ITSPE;ESBCN
176;407151;301192.0;43939,29167;43939,66667;43939,28867;43939,71016;9138355.0;2HEP7;GB;K-RIVER;SEAGOLINE;FRFOS;ITSPE;ESBCN
177;407148;;43941,45833;43942,04167;;;9315214.0;S6CH2;SG;MAERSK SERANGOON;MAERSK;FRFOS;ESVLC;ITVDL
178;407059;;43915,125;43915,54167;;;9451006.0;V2ER2;MH;MEDITERRANEAN SEA;MARMEDSA;FRFOS;ESBCN;MAPTM
179;407058;;43916,125;43916,54167;;;9668506.0;SVBZ1;MT;NEPTUNE THALASSA;MARMEDSA;FRFOS;FRMRS;FRSET
180;407057;301303.0;43950,39583;43950,83333;43950,39747;43950,88497;9365831.0;V7PR8;MH;APOSTOLOS II;ARKAS;FRFOS;ITGOA;ESBCN
181;407056;301204.0;43940,625;43941,32292;43940,62212;43941,38431;9491850.0;TCZK8;TR;GULBENIZ A;ARKAS;FRFOS;ESBCN;GRPIR
182;407055;;43924,41667;43924,79167;;;9427964.0;DHDT2;DE;PARANA;MARMEDSA;FRFOS;TRGEM;FRSET
183;407054;;43915,125;43916,54167;;;9306706.0;9HZW7;MT;NEPTUNE OKEANIS;MARMEDSA;FRFOS;ESBCN;ESSDR
184;407043;;43944,66667;43945,54167;;;8715871.0;H3XG;PA;MSC PILAR;MSC;FRFOS;TRTEK;ESBCN
185;407042;;43944,375;43944,875;;;9309447.0;3EEB3;PA;MSC RANIA;MSC;FRFOS;ITSPE;ESVLC
186;407041;301169.0;43936,72917;43937,64583;43936,72262;43937,70466;9237151.0;A8EU2;PA;MSC DONATA;MSC;FRFOS;ITGOA;ESVLC
