;cal_pre_call_number;cal_call_number;cal_eta;cal_etd;cal_rta;cal_rtd;cal_conveyance_registration;callsign;countrycode;cnvname;cal_carrier;cal_place_code;cal_last_place_code;cal_next_place_code
0;408673;;43988,16667;43989,16667;;;8618293.0;3EYX;PA;MSC VERONIQUE;MSC;FRFOS;ITMSN;ESBCN
1;408674;;43995,16667;43996,16667;;;8715871.0;H3XG;PA;MSC PILAR;MSC;FRFOS;ITMSN;ESBCN
2;408671;;43987,16667;43988,16667;;;9605231.0;VRMO6;HK;MSC ARBATAX;MSC;FRFOS;ITSPE;ESVLC
3;408672;;43993,16667;43994,16667;;;9720457.0;3FFR5;PA;MSC SILVIA;MSC;FRFOS;ITSPE;ESVLC
4;408670;;44010,16667;44011,16667;;;9318046.0;A8IE8;LR;E.R. TOKYO;MSC;FRFOS;FRLEH;ITSPE
5;408668;;43991,16667;43992,16667;;;9304447.0;A8KX4;LR;MSC ROMA;MSC;FRFOS;FRLEH;ITSPE
6;408669;;44011,45833;44012,04167;;;9444742.0;OXTN2;DK;SANTA CRUZ;MAERSK;FRFOS;ESVLC;ITVDL
7;408666;;43988,16667;43989,16667;;;9180968.0;3EAZ;PA;MSC SHEILA;MSC;FRFOS;ITSPE;DZALG
8;408661;;43985,08333;43985,5;;;9284764.0;HOWE;PA;GRAND PHOENIX;MARMEDSA;FRFOS;SIKOP;ESTAR
9;408653;;44025,16667;44026,04167;;;9409194.0;2DMF2;GB;CMA CGM LAMARTINE;CMACGM;FRFOS;ESBCN;ITGOA
10;408650;;44012,16667;44012,75;;;9632210.0;9V9926;SG;APL MEXICO CITY;CMACGM;FRFOS;FRLEH;ITSPE
11;408621;;43997,125;43997,875;;;9627928.0;D5FN8;LR;CSAV TYNDALL;HAPAG;FRFOS;ESBCN;ITGOA
12;408638;;43999,08333;43999,75;;;9366483.0;9V3933;SG;ASIATIC ISLAND;ZIM;FRFOS;ILHFA;ITGOA
13;408637;;43985,08333;43985,75;;;9366483.0;9V3933;SG;ASIATIC ISLAND;ZIM;FRFOS;ILHFA;ITGOA
14;408570;;44004,45833;44005,16667;;;9315240.0;S6CH5;SG;MAERSK SENANG;MAERSK;FRFOS;ESVLC;ITVDL
15;408569;;43982,16667;43982,5;;;9264740.0;V2BF5;AG;ATLANTIS;SEAGOLINE;FRFOS;ITSPE;ESBCN
16;408560;301457.0;43967,25;43972,45833;43967,24905;;9113044.0;D5IU7;LR;NEW LEO;AGENA;FRFOS;DZDJE;TRALI
17;408555;;43973,08333;43973,5;;;9668506.0;SVBZ1;MT;NEPTUNE THALASSA;MARMEDSA;FRFOS;FRSET;GRPIR
18;408521;;43973,08333;43973,75;;;9202651.0;3FGF9;PA;MSC REGINA;MSC;FRFOS;ITGOA;ESVLC
19;408520;;43982,16667;43983,16667;;;9330238.0;D5EVF4;LR;VEGA EPSILON;MSC;FRFOS;ITSPE;DZALG
20;408512;;43995,75;43997,5;;;9525869.0;9HA2887;MT;AIN SNAN;HAPAG;FRFOS;ITSPE;ITGOA
