,CODE,Port,Country,latitude,longitude
2842,CAYNO,NORTH SPIRIT LAKE,CANADA,,
2843,CAYNR,ARNES,CANADA,,
2844,CAYNS,NEMISCAU,CANADA,,
2845,CAYOC,OLD CROW,CANADA,,
2846,CAYOD,COLD LAKE,CANADA,,
2847,CAYOE,FALHER,CANADA,,
2848,CAYOG,OGOKI,CANADA,,
2849,CAYOH,OXFORD HOUSE,CANADA,,
2850,CAYOJ,HIGH LEVEL,CANADA,,
2851,CAYOY,VALCARTIER,CANADA,,
2852,CAYPC,PAULATUK,CANADA,,
2853,CAYPE,PEACE RIVER,CANADA,,
2854,CAYPH,INUKJUAK,CANADA,,
2855,CAYPJ,AUPAULUK,CANADA,,
2856,CAYPL,PICKLE LAKE,CANADA,,
2857,CAYPM,PIKANGIKUM,CANADA,,
2858,CAYPO,PEAWANUCK,CANADA,,
2859,CAYPP,PINE POINT,CANADA,,
2860,CAYPY,FORT CHIPEWYAN,CANADA,,
2861,CAYPZ,BURNS LAKE,CANADA,,
2862,CAYQA,MUSKOKA,CANADA,,
2863,CAYQD,THE PAS,CANADA,,
2864,CAYQE,KIMBERLEY,CANADA,,
2865,CAYQH,WATSON LAKE APT,CANADA,,
2866,CAYQK,KENORA,CANADA,,
2867,CAYQN,NAKINA,CANADA,,
2868,CAYQU,GRANDE PRAIRIE,CANADA,,
2869,CAYQV,YORKTON,CANADA,,
2870,CAYQW,NORTH BATTLEFORD,CANADA,,
2871,CAYRD,DEAN RIVER,CANADA,,
2872,CAYRF,CARTWRIGHT,CANADA,,
2873,CAYRG,RIGOLET,CANADA,,
2874,CAYRH,YARMOUTH,CANADA,,
2875,CAYRJ,ROBERVAL,CANADA,,
2876,CAYRM,ROCKY MOUNTAIN HOUSE,CANADA,,
2877,CAYRN,RIVERS INLET,CANADA,,
2878,CAYRR,STUART ISLAND,CANADA,,
2879,CAYRV,REVELSTOKE,CANADA,,
2880,CAYSA,SABLE ISLAND,CANADA,,
2881,CAYSD,SUFFIELD,CANADA,,
2882,CAYSF,STONY RAPIDS,CANADA,,
2883,CAYSG,LUTSELKE/SNOWDRIFT,CANADA,,
2884,CAYSH,SMITH FALLS,CANADA,,
2885,CAYSI,SANS SOUCI,CANADA,,
2886,CAYSK,SANIKILUAQ,CANADA,,
2887,CAYSL,ST LEONARD,CANADA,,
2888,CAYSN,SALMON ARM,CANADA,,
2889,CAYSQ,SPRING ISLAND,CANADA,,
2890,CAYSS,SLATE ISLAND,CANADA,,
2891,CAYST,STE THERESE POINT,CANADA,,
2892,CAYSV,SAGLEK,CANADA,,
2893,CAYSW,SALLUIT,CANADA,,
2894,CAYSX,SHEARWATER,CANADA,,
2895,CAYSY,SACHS HARBOUR,CANADA,,
2896,CAYSZ,SQUIRREL COVE,CANADA,,
2897,CAYTB,HARTLEY BAY,CANADA,,
2898,CAYTC,STURDEE,CANADA,,
2899,CAYTD,THICKET PORTAGE,CANADA,,
2900,CAYTF,ALMA,CANADA,,
2901,CAYTG,SULLIVAN BAY,CANADA,,
2902,CAYTH,THOMPSON,CANADA,,
2903,CAYTI,TRIPLE ISLAND,CANADA,,
2904,CAYTJ,TERRACE BAY,CANADA,,
2905,CAYTK,TULUGAK,CANADA,,
2906,CAYTN,RIVIERE AU TONNERRE,CANADA,,
2907,CAYTO,GUILDWOOD,CANADA,,
2908,CAYTQ,TASIUJUAQ,CANADA,,
2909,CAYTS,TIMMINS,CANADA,,
2910,CAYTT,TISDALE,CANADA,,
2911,CAYTX,TELEGRAPH CREEK,CANADA,,
2912,CAYUF,PELLY BAY,CANADA,,
2913,CAYUY,ROUYN,CANADA,,
2914,CAYVC,LA RONGE,CANADA,,
2915,CAYVG,VERMILION,CANADA,,
2916,CAYVO,VAL D'OR,CANADA,,
2917,CAYVQ,NORMAN WELLS,CANADA,,
2918,CAYVT,BUFFALO NARROWS,CANADA,,
2919,CAYVV,WIARTON,CANADA,,
2920,CAYVZ,DEER LAKE,CANADA,,
2921,CAYWA,PETAWAWA,CANADA,,
2922,CAYWB,KANGIQSUJUAQ,CANADA,,
2923,CAYWJ,DELINE,CANADA,,
2924,CAYWK,WABUSH,CANADA,,
2925,CAYWL,WILLIAMS LAKE,CANADA,,
2926,CAYWM,WILLIAMS HARBOUR,CANADA,,
2927,CAYWN,WINISK,CANADA,,
2928,CAYWP,WEBEQUIE,CANADA,,
2929,CAYWR,WHITE RIVER,CANADA,,
2930,CAYWS,WHISTLER,CANADA,,
2931,CAYWY,WRIGLEY,CANADA,,
2932,CAYXC,CRANBROOK,CANADA,,
2933,CAYXF,SNAKE RIVER,CANADA,,
2934,CAYXH,MEDICINE HAT,CANADA,,
2935,CAYXI,KILLALOE,CANADA,,
2936,CAYXL,SIOUX LOOKOUT,CANADA,,
2937,CAYXN,WHALE COVE,CANADA,,
2938,CAYXR,EARLTON,CANADA,,
2939,CAYXT,TERRACE,CANADA,,
2940,CAYXY,WHITEHORSE,CANADA,,
2941,CAYXZ,WAWA,CANADA,,
2942,CAYYD,SMITHERS,CANADA,,
2943,CAYYF,PENTICTON,CANADA,,
2944,CAYYH,TALOYOAK,CANADA,,
2945,CAYYI,RIVERS,CANADA,,
2946,CAYYL,LYNN LAKE,CANADA,,
2947,CAYYM,COWLEY,CANADA,,
2948,CAYYN,SWIFT CURRENT,CANADA,,
2949,CAYYU,KAPUSKASING,CANADA,,
2950,CAYYY,MONT JOLI,CANADA,,
2951,CAYZA,ASHCROFT,CANADA,,
2952,CAYZE,GORE BAY,CANADA,,
2953,CAYZF,YELLOWKNIFE,CANADA,,
2954,CAYZH,SLAVE LAKE,CANADA,,
2955,CAYZM,BUCHANS,CANADA,,
2956,CAYZS,CORAL HARBOUR,CANADA,,
2957,CAYZW,TESLIN,CANADA,,
2958,CAYZX,GREENWOOD,CANADA,,
2959,CAZAC,YORK LANDING,CANADA,,
2960,CAZBM,BROMONT,CANADA,,
2961,CAZEB,ZEBALLOS,CANADA,,
2962,CAZEM,EAST MAIN,CANADA,,
2963,CAZFA,FARO,CANADA,,
2964,CAZFB,OLD FORT BAY,CANADA,,
2965,CAZFD,FOND DU LAC,CANADA,,
2966,CAZFL,SOUTH TROUT LAKE,CANADA,,
2967,CAZFM,FORT MCPHERSON,CANADA,,
2968,CAZFN,TULITA/FORT NORMAN,CANADA,,
2969,CAZFW,FAIRVIEW,CANADA,,
2970,CAZGF,GRAND FORKS,CANADA,,
2971,CAZGI,GODS RIVER,CANADA,,
2972,CAZGR,LITTLE GRAND RAPIDS,CANADA,,
2973,CAZGS,GETHSEMANI,CANADA,,
2974,CAZHP,HIGH PRAIRIE,CANADA,,
2975,CAZJG,JENPEG,CANADA,,
2976,CAZJN,SWAN RIVER,CANADA,,
2977,CAZKE,KASCHECHEWAN,CANADA,,
2978,CAZKG,KEGASKA,CANADA,,
2979,CAZLT,LA TABATIERE,CANADA,,
2980,CAZNG,NEGGINAN,CANADA,,
2981,CAZNU,NAMU,CANADA,,
2982,CAZPB,SACHIGO LAKE,CANADA,,
2983,CAZPO,PINE HOUSE,CANADA,,
2984,CAZRJ,ROUND LAKE,CANADA,,
2985,CAZSJ,SANDY LAKE,CANADA,,
2986,CAZSP,ST PAUL,CANADA,,
2987,CAZTB,TETE-A-LA BALEINE,CANADA,,
2988,CAZTM,SHAMATTAWA,CANADA,,
2989,CAZUC,IGNACE,CANADA,,
2990,CAZUM,CHURCHILL FALLS,CANADA,,
2991,CAZWL,WOLLASTON LAKE,CANADA,,
2992,CCCCK,COCOS ISLANDS,COCOS (KEELING) ISLANDS,,
2993,CDANG,ANGO-ANGO,CONGO (KINSHASA),,
2994,CDBDT,GBADOLITE,CONGO (KINSHASA),,
2995,CDBDV,MOBA,CONGO (KINSHASA),,
2996,CDBKY,BUKAVU,CONGO (KINSHASA),,
2997,CDBMB,BUMBA,CONGO (KINSHASA),,
2998,CDBUX,BUNIA,CONGO (KINSHASA),,
2999,CDBZU,BUTA,CONGO (KINSHASA),,
3000,CDDIC,DILI,CONGO (KINSHASA),,
3001,CDFBM,LUBUMBASHI,CONGO (KINSHASA),,
3002,CDFIH,KINSHASA,CONGO (KINSHASA),,
3003,CDFKI,KISANGANI,CONGO (KINSHASA),,
3004,CDFMI,KALEMIE,CONGO (KINSHASA),,
3005,CDGDJ,GANDAJIKA,CONGO (KINSHASA),,
3006,CDGMA,GEMENA,CONGO (KINSHASA),,
3007,CDGOM,GOMA,CONGO (KINSHASA),,
3008,CDIDF,IDIOFA,CONGO (KINSHASA),,
3009,CDIKL,IKELA,CONGO (KINSHASA),,
3010,CDINO,INONGO,CONGO (KINSHASA),,
3011,CDIRP,ISIRO,CONGO (KINSHASA),,
3012,CDKAP,KAPANGA,CONGO (KINSHASA),,
3013,CDKBN,KABINDA,CONGO (KINSHASA),,
3014,CDKBO,KABALO,CONGO (KINSHASA),,
3015,CDKEC,KASENGA,CONGO (KINSHASA),,
3016,CDKGA,KANANGA,CONGO (KINSHASA),,
3017,CDKGN,KASONGO LUNDA,CONGO (KINSHASA),,
3018,CDKIL,KILWA,CONGO (KINSHASA),,
3019,CDKKW,KIKWIT,CONGO (KINSHASA),,
3020,CDKLI,KOTA KOLI,CONGO (KINSHASA),,
3021,CDKLY,KALIMA,CONGO (KINSHASA),,
3022,CDKMN,KAMINA,CONGO (KINSHASA),,
3023,CDKND,KINDU,CONGO (KINSHASA),,
3024,CDKNM,KANIAMA,CONGO (KINSHASA),,
3025,CDKOO,KONGOLO,CONGO (KINSHASA),,
3026,CDKRZ,KIRI,CONGO (KINSHASA),,
3027,CDKWZ,KOLWEZI,CONGO (KINSHASA),,
3028,CDLBO,LUSAMBO,CONGO (KINSHASA),,
3029,CDLIE,LIBENGE,CONGO (KINSHASA),,
3030,CDLIQ,LISALA,CONGO (KINSHASA),,
3031,CDLJA,LODJA,CONGO (KINSHASA),,
3032,CDLUS,LUSANGA,CONGO (KINSHASA),,
3033,CDLZA,LUIZA,CONGO (KINSHASA),,
3034,CDLZI,LUOZI,CONGO (KINSHASA),,
3035,CDMAT,MATADI,CONGO (KINSHASA),,
3036,CDMDK,MBANDAKA,CONGO (KINSHASA),,
3037,CDMEW,MWEKA,CONGO (KINSHASA),,
3038,CDMJM,MBUJI MAYI,CONGO (KINSHASA),,
3039,CDMKL,MAKALA,CONGO (KINSHASA),,
3040,CDMNB,MOANDA,CONGO (KINSHASA),,
3041,CDMNO,MANONO,CONGO (KINSHASA),,
3042,CDMSM,MASI MANIMBA,CONGO (KINSHASA),,
3043,CDNIO,NIOKI,CONGO (KINSHASA),,
3044,CDNKL,NKOLO,CONGO (KINSHASA),,
3045,CDNLO,N'DOLO,CONGO (KINSHASA),,
3046,CDPFR,ILEBO,CONGO (KINSHASA),,
3047,CDPUN,PUNIA,CONGO (KINSHASA),,
3048,CDPWO,PWETO,CONGO (KINSHASA),,
3049,CDTSH,TSHIKAPA,CONGO (KINSHASA),,
3050,CDUVI,UVIRA,CONGO (KINSHASA),,
3051,CDYAN,YANGAMBI,CONGO (KINSHASA),,
3052,CFAIG,YALINGA,CENTRAL AFRICAN REPUBLIC,,
3053,CFALI,ALINDAO,CENTRAL AFRICAN REPUBLIC,,
3054,CFBCF,BOUCA,CENTRAL AFRICAN REPUBLIC,,
3055,CFBEM,BOSSEMBELE,CENTRAL AFRICAN REPUBLIC,,
3056,CFBIV,BRIA,CENTRAL AFRICAN REPUBLIC,,
3057,CFBOP,BOUAR,CENTRAL AFRICAN REPUBLIC,,
3058,CFBOZ,BOZOUM,CENTRAL AFRICAN REPUBLIC,,
3059,CFBSN,BOSSANGOA,CENTRAL AFRICAN REPUBLIC,,
3060,CFCRF,CARNOT,CENTRAL AFRICAN REPUBLIC,,
3061,CFDEK,DEKOA,CENTRAL AFRICAN REPUBLIC,,
3062,CFGDA,GOUNDA,CENTRAL AFRICAN REPUBLIC,,
3063,CFGDI,GORDIL,CENTRAL AFRICAN REPUBLIC,,
3064,CFGRI,GRIMARI,CENTRAL AFRICAN REPUBLIC,,
3065,CFIMO,ZEMIO,CENTRAL AFRICAN REPUBLIC,,
3066,CFKAB,KAGA BANDORO,CENTRAL AFRICAN REPUBLIC,,
3067,CFKEM,KEMBÉ,CENTRAL AFRICAN REPUBLIC,,
3068,CFKOL,KOUMALA,CENTRAL AFRICAN REPUBLIC,,
3069,CFKWD,KAWADJIA,CENTRAL AFRICAN REPUBLIC,,
3070,CFMKI,M'BAIKI,CENTRAL AFRICAN REPUBLIC,,
3071,CFMOB,MOBAYE,CENTRAL AFRICAN REPUBLIC,,
3072,CFMON,MONGOUMBA,CENTRAL AFRICAN REPUBLIC,,
3073,CFNDL,NDÉLÉ,CENTRAL AFRICAN REPUBLIC,,
3074,CFNOL,NOLA,CENTRAL AFRICAN REPUBLIC,,
3075,CFOBO,OBO,CENTRAL AFRICAN REPUBLIC,,
3076,CFODA,OUADDA,CENTRAL AFRICAN REPUBLIC,,
3077,CFODJ,OUANDA DJALLE,CENTRAL AFRICAN REPUBLIC,,
3078,CFPAO,PAOUA,CENTRAL AFRICAN REPUBLIC,,
3079,CFRFA,RAFAI,CENTRAL AFRICAN REPUBLIC,,
3080,CFSIB,SIBUT,CENTRAL AFRICAN REPUBLIC,,
3081,CGANJ,ZANAGA,CONGO (BRAZZAVILLE),,
3082,CGBOE,BOUNDJI,CONGO (BRAZZAVILLE),,
3083,CGBZV,BRAZZAVILLE,CONGO (BRAZZAVILLE),,
3084,CGDIS,LOUBOMO,CONGO (BRAZZAVILLE),,
3085,CGDJE,DJENO TERMINAL,CONGO (BRAZZAVILLE),,
3086,CGDJM,DJAMBALA,CONGO (BRAZZAVILLE),,
3087,CGEPN,EPENA,CONGO (BRAZZAVILLE),,
3088,CGEWO,EWO,CONGO (BRAZZAVILLE),,
3089,CGGMM,GAMBOMA,CONGO (BRAZZAVILLE),,
3090,CGION,IMPFONDO,CONGO (BRAZZAVILLE),,
3091,CGKEE,KELLE,CONGO (BRAZZAVILLE),,
3092,CGKMK,MAKABANA,CONGO (BRAZZAVILLE),,
3093,CGKNJ,KINDAMBA,CONGO (BRAZZAVILLE),,
3094,CGLCO,LAGUE,CONGO (BRAZZAVILLE),,
3095,CGLKC,LEKANA,CONGO (BRAZZAVILLE),,
3096,CGMBI,MBINDA,CONGO (BRAZZAVILLE),,
3097,CGMKJ,MAKOUA,CONGO (BRAZZAVILLE),,
3098,CGMOS,MOSSAKA,CONGO (BRAZZAVILLE),,
3099,CGMSX,MOSSENDJO,CONGO (BRAZZAVILLE),,
3100,CGMUY,MOUYONDZI,CONGO (BRAZZAVILLE),,
3101,CGNKY,NKAYI,CONGO (BRAZZAVILLE),,
3102,CGOKG,OKOYO,CONGO (BRAZZAVILLE),,
3103,CGOUE,OUESSO,CONGO (BRAZZAVILLE),,
3104,CGOYO,OYO,CONGO (BRAZZAVILLE),,
3105,CGPNR,POINTE NOIRE,CONGO (BRAZZAVILLE),-4.783333333333333,11.816666666666666
3106,CGSOE,SOUANKE,CONGO (BRAZZAVILLE),,
3107,CHAAR,AARAU,SWITZERLAND,,
3108,CHARB,ALTDORF,SWITZERLAND,,
3109,CHASN,ALTSTATTEN,SWITZERLAND,,
3110,CHATT,PRATTELN,SWITZERLAND,,
3111,CHBBL,BREMBLENS,SWITZERLAND,,
3112,CHBGF,BURGDORF,SWITZERLAND,,
3113,CHBLN,BÜCHSLEN,SWITZERLAND,,
3114,CHBMG,BREMGARTEN AG? BE,SWITZERLAND,,
3115,CHBUB,BUBENDORF,SWITZERLAND,,
3116,CHBUC,BUCHS,SWITZERLAND,,
3117,CHBUL,BULLE,SWITZERLAND,,
3118,CHCAD,CADENAZZO,SWITZERLAND,,
3119,CHCHI,CHIASSO,SWITZERLAND,,
3120,CHCHR,CHUR,SWITZERLAND,,
3121,CHCRI,CRISSIER,SWITZERLAND,,
3122,CHCRT,CORTAILLOD,SWITZERLAND,,
3123,CHCUG,CUGY,SWITZERLAND,,
3124,CHDGS,DEGERSHEIM,SWITZERLAND,,
3125,CHDIE,DIETIKON,SWITZERLAND,,
3126,CHDIG,DÜDINGEN,SWITZERLAND,,
3127,CHDMT,DOMAT,SWITZERLAND,,
3128,CHEIN,EBIKON,SWITZERLAND,,
3129,CHEKO,ESCHLIKON,SWITZERLAND,,
3130,CHFAH,FLAACH,SWITZERLAND,,
3131,CHFCH,FORCH,SWITZERLAND,,
3132,CHFKD,FRENKENDORF,SWITZERLAND,,
3133,CHFLU,FLUMS,SWITZERLAND,,
3134,CHFRB,FRIBOURG,SWITZERLAND,,
3135,CHFRN,FRAUENFELD,SWITZERLAND,,
3136,CHFTN,FRUTIGEN,SWITZERLAND,,
3137,CHFWG,FAHRWANGEN,SWITZERLAND,,
3138,CHGBS,GIUBIASCO,SWITZERLAND,,
3139,CHGDN,GRANDSON,SWITZERLAND,,
3140,CHGDW,GEROLDSWIL,SWITZERLAND,,
3141,CHGFG,GERLAFINGEN,SWITZERLAND,,
3142,CHGFR,GRAFENRIED,SWITZERLAND,,
3143,CHGKR,GELTERKINDEN,SWITZERLAND,,
3144,CHGSR,GENESTRERIO,SWITZERLAND,,
3145,CHGVA,GENÈVE,SWITZERLAND,,
3146,CHKHH,KÜSNACHT ZH? SZ?,SWITZERLAND,,
3147,CHKLR,KIRCHLEERAU,SWITZERLAND,,
3148,CHKRZ,KREUZLINGEN,SWITZERLAND,,
3149,CHLAU,LAUSANNE,SWITZERLAND,,
3150,CHLBG,LENZBURG,SWITZERLAND,,
3151,CHLEN,KOBLENZ,SWITZERLAND,,
3152,CHLON,LOCARNO,SWITZERLAND,,
3153,CHLUG,LUGANO,SWITZERLAND,,
3154,CHLYS,LYSS,SWITZERLAND,,
3155,CHMET,METTMENSTETTEN,SWITZERLAND,,
3156,CHMEZ,MEZZOVICO,SWITZERLAND,,
3157,CHMGY,MARTIGNY,SWITZERLAND,,
3158,CHMHL,MOEHLIN,SWITZERLAND,,
3159,CHMON,MONTHEY,SWITZERLAND,,
3160,CHMOS,MORGES,SWITZERLAND,,
3161,CHMTR,MOUTIER,SWITZERLAND,,
3162,CHMUN,MÜCHENSTEIN,SWITZERLAND,,
3163,CHMUR,MURI,SWITZERLAND,,
3164,CHMUT,MUTTENZ,SWITZERLAND,,
3165,CHNBK,NEBIKON,SWITZERLAND,,
3166,CHNEU,NEUENDORF,SWITZERLAND,,
3167,CHNLZ,NIEDERLENZ,SWITZERLAND,,
3168,CHNTT,NIEDERGLATT,SWITZERLAND,,
3169,CHNUN,NIEDERURNEN,SWITZERLAND,,
3170,CHNWG,NIEDERWENINGEN,SWITZERLAND,,
3171,CHOBE,OBERUZWIL,SWITZERLAND,,
3172,CHOGI,OBERÄGERI,SWITZERLAND,,
3173,CHOLT,OLTEN,SWITZERLAND,,
3174,CHOMD,OSTERMUNDINGEN,SWITZERLAND,,
3175,CHORN,OBERRIEDE,SWITZERLAND,,
3176,CHPLO,GENÈVE-PLAN LES OUAT,SWITZERLAND,,
3177,CHQGL,ST GALLEN,SWITZERLAND,,
3178,CHRAM,RAMSEN,SWITZERLAND,,
3179,CHRBG,REICHENBURG,SWITZERLAND,,
3180,CHRCT,RANCATE,SWITZERLAND,,
3181,CHRFD,RHEINFELDEN,SWITZERLAND,,
3182,CHRFZ,RAFZ,SWITZERLAND,,
3183,CHRGF,REGENSDORF,SWITZERLAND,,
3184,CHRHW,RENENS,SWITZERLAND,,
3185,CHROM,ROMONT,SWITZERLAND,,
3186,CHRTI,RÜTI,SWITZERLAND,,
3187,CHRUI,RÜTI,SWITZERLAND,,
3188,CHSAF,SAFENWIL,SWITZERLAND,,
3189,CHSAN,STANS,SWITZERLAND,,
3190,CHSBG,STEFFISBURG,SWITZERLAND,,
3191,CHSBO,STABIO,SWITZERLAND,,
3192,CHSCH,SCHAFFHAUSEN,SWITZERLAND,,
3193,CHSGE,SULGEN,SWITZERLAND,,
3194,CHSHR,SCHLIEREN,SWITZERLAND,,
3195,CHSMR,STEINMAUR,SWITZERLAND,,
3196,CHSNN,SARNEN,SWITZERLAND,,
3197,CHSTM,ST MARGRETHEN,SWITZERLAND,,
3198,CHSVN,SEVELEN,SWITZERLAND,,
3199,CHTEN,TENERO,SWITZERLAND,,
3200,CHTHA,THAYNGEN,SWITZERLAND,,
3201,CHTWL,THALWIL,SWITZERLAND,,
3202,CHUZW,UZWIL,SWITZERLAND,,
3203,CHVAL,VALLORBE,SWITZERLAND,,
3204,CHVEN,VENDLINCOURT,SWITZERLAND,,
3205,CHVER,VERNIER,SWITZERLAND,,
3206,CHVFN,VAUFFELIN,SWITZERLAND,,
3207,CHVIS,VISP,SWITZERLAND,,
3208,CHVSG,VILLARS-SUR-GLANE,SWITZERLAND,,
3209,CHVVY,VOUVRY,SWITZERLAND,,
3210,CHWGN,WANGEN BE?SO?SZ?ZH?,SWITZERLAND,,
3211,CHWHL,WOHLEN,SWITZERLAND,,
3212,CHWIN,WETTINGEN,SWITZERLAND,,
3213,CHYHM,COURTAMAN,SWITZERLAND,,
3214,CHZJA,LE LOCLE,SWITZERLAND,,
3215,CHZKZ,VEVEY,SWITZERLAND,,
3216,CHZLM,ZUG,SWITZERLAND,,
3217,CHZRH,ZURICH,SWITZERLAND,,
3218,CIABJ,ABIDJAN,CÔTE D'IVOIRE,5.3,-4.0
3219,CIASK,YAMOUSSOUKRO,CÔTE D'IVOIRE,,
3220,CIASS,ASSINIE,CÔTE D'IVOIRE,,
3221,CIBBE,BOUBELE,CÔTE D'IVOIRE,,
3222,CIBYK,BOUAKE,CÔTE D'IVOIRE,,
3223,CIDJO,DALOA,CÔTE D'IVOIRE,,
3224,CIFEK,FERKESSEDOUGOU,CÔTE D'IVOIRE,,
3225,CIFRE,FRESCO,CÔTE D'IVOIRE,,
3226,CIGBA,GRAND BASAM,CÔTE D'IVOIRE,,
3227,CIGLU,GRAND LAHOU,CÔTE D'IVOIRE,,
3228,CIHGO,KORHOGO,CÔTE D'IVOIRE,,
3229,CIJAB,JABOU,CÔTE D'IVOIRE,,
3230,CIJAC,JACQUIVILLE,CÔTE D'IVOIRE,,
3231,CIKEO,ODIENNE,CÔTE D'IVOIRE,,
3232,CIKOS,KOSAO,CÔTE D'IVOIRE,,
3233,CIMJC,MAN,CÔTE D'IVOIRE,,
3234,CIOGO,ABENGOUROU,CÔTE D'IVOIRE,,
3235,CIPBT,PORT BOUET,CÔTE D'IVOIRE,,
3236,CISPY,SAN PEDRO,CÔTE D'IVOIRE,,
3237,CITXU,TABOU,CÔTE D'IVOIRE,,
3238,CIZSS,SASSANDRA,CÔTE D'IVOIRE,,
3239,CKAIT,AITUTAKI,COOK ISLANDS,,
3240,CKAIU,ATIU,COOK ISLANDS,,
3241,CKARU,ARUTUNGA,COOK ISLANDS,,
3242,CKMGS,MANGAIA,COOK ISLANDS,,
3243,CKMOI,MITIARO ISLAND,COOK ISLANDS,,
3244,CKMUK,MAUKE ISLAND,COOK ISLANDS,,
3245,CKRAR,RAROTONGA,COOK ISLANDS,,
3246,CLANF,ANTOFAGASTA,CHILE,-23.65,-70.41666666666667
3247,CLARI,ARICA,CHILE,-18.466666666666665,-70.33333333333333
3248,CLCAL,CALETA PARILLOS,CHILE,,
3249,CLCAS,CASABLANCA,CHILE,,
3250,CLCCP,CONCEPCION,CHILE,,
3251,CLCGR,CRUZ GRANDE,CHILE,,
3252,CLCHB,CHACABUCO,CHILE,,
3253,CLCJC,CALAMA,CHILE,,
3254,CLCLD,CALDERA,CHILE,,
3255,CLCLR,CLARENCIA,CHILE,,
3256,CLCNL,CORONEL,CHILE,,
3257,CLCNR,CHAÑARAL,CHILE,-26.35,-70.63333333333334
3258,CLCNX,CABO NEGRO,CHILE,,
3259,CLCPO,COPIAPO,CHILE,,
3260,CLCQQ,COQUIMBO,CHILE,,
3261,CLCRR,CORRAL,CHILE,,
3262,CLCXQ,COYHAIQUE,CHILE,,
3263,CLESR,EL SALVADOR,CHILE,,
3264,CLGIO,GATICO,CHILE,,
3265,CLGUR,GUARELLO,CHILE,,
3266,CLGYC,GUAYACAN,CHILE,,
3267,CLHSO,HUASCO,CHILE,,
3268,CLIPC,ISLA DE PASCUA,CHILE,,
3269,CLIQQ,IQUIQUE,CHILE,-20.2,-70.15
3270,CLISG,ISLA GUARELLO,CHILE,,
3271,CLKNA,VINA DEL MAR,CHILE,,
3272,CLLEB,LEBU,CHILE,,
3273,CLLND,LOS ANDES,CHILE,,
3274,CLLOS,LOS VILOS,CHILE,,
3275,CLLQN,LIRQUÉN,CHILE,,
3276,CLLSC,LA SERENA,CHILE,,
3277,CLLSQ,LOS ANGELES,CHILE,,
3278,CLLTA,LOTA,CHILE,,
3279,CLLVS,LAS VENTANOS,CHILE,,
3280,CLLVT,LOS VIENTOS,CHILE,,
3281,CLMJS,MEJILLONES,CHILE,,
3282,CLOVL,OVALLE,CHILE,,
3283,CLPAQ,PLACILLA - VALPARAIS,CHILE,,
3284,CLPEO,PENCO,CHILE,,
3285,CLPIS,PISAGUA,CHILE,,
3286,CLPLL,PLACILLA,CHILE,,
3287,CLPMC,PUERTO MONTT,CHILE,-41.46666666666667,-72.95
3288,CLPNT,PUERTO NATALES,CHILE,,
3289,CLPPY,PUERTO PERCY,CHILE,,
3290,CLPTI,PATILLOS,CHILE,,
3291,CLPUQ,PUNTA ARENAS,CHILE,-53.166666666666664,-70.9
3292,CLQMC,QUEMCHI,CHILE,,
3293,CLQRC,RANCAGUA,CHILE,,
3294,CLQTV,QUINTERO,CHILE,,
3295,CLSAI,SAN ANTONIO,CHILE,-33.583333333333336,-71.61666666666666
3296,CLSCL,SANTIAGO,CHILE,,
3297,CLSFP,SAN FELIPE,CHILE,,
3298,CLSGR,SAN GREGORY,CHILE,,
3299,CLSVE,SAN VICENTE,CHILE,-36.733333333333334,-73.15
3300,CLTAL,TALCAHUANO,CHILE,-36.68333333333333,-73.1
3301,CLTLX,TALCA,CHILE,,
3302,CLTOM,TOMÉ,CHILE,,
3303,CLTOQ,TOCOPILLA,CHILE,,
3304,CLTTC,TALTAL,CHILE,,
3305,CLVAP,VALPARAISO,CHILE,-33.03333333333333,-71.63333333333334
3306,CLWCA,CASTRO,CHILE,,
3307,CLWCH,CHAITEN,CHILE,,
3308,CLWPA,PUERTO AISEN,CHILE,,
3309,CLWPU,PUERTO WILLIAMS,CHILE,,
3310,CLZAL,VALDIVIA,CHILE,,
3311,CLZCO,TEMUCO,CHILE,,
3312,CLZIC,VICTORIA,CHILE,,
3313,CLZOS,OSORNO,CHILE,,
3314,CLZUD,ANCUD,CHILE,,
3315,CMBUA,BUEA,CAMEROON,,
3316,CMCMO,CAMPO,CAMEROON,,
3317,CMDLA,DOUALA,CAMEROON,4.05,9.7
3318,CMDSC,DSCHANG,CAMEROON,,
3319,CMEDA,EDEA,CAMEROON,,
3320,CMGOU,GAROUA,CAMEROON,,
3321,CMKBI,KRIBI,CAMEROON,2.9333333333333336,9.933333333333334
3322,CMKOB,KOUTABA,CAMEROON,,
3323,CMKOL,KOLE TERMINAL,CAMEROON,,
3324,CMLIM,LIMBE,CAMEROON,,
3325,CMLIT,LIMBOH TERMINAL,CAMEROON,,
3326,CMMMF,MAMFE,CAMEROON,,
3327,CMMOU,MOUDI TERMINAL,CAMEROON,,
3328,CMMVR,MAROUA,CAMEROON,,
3329,CMNKS,NKONGSAMBA,CAMEROON,,
3330,CMTKC,TIKO,CAMEROON,4.066666666666666,9.4
3331,CMVCC,VICTORIA,CAMEROON,,
3332,CMYAO,YAOUNDE,CAMEROON,,
3333,CNAKL,ALATAWSHANKOU,CHINA,,
3334,CNAQG,ANQING,CHINA,,
3335,CNART,ARHAXAT,CHINA,,
3336,CNASN,ANSHAN,CHINA,,
3337,CNBUJ,BUJI,CHINA,,
3338,CNBUR,BURANG,CHINA,,
