;Date début;Date fin;Nom du port;Type;Nb TEU;Poids brut TEU;Nb 20';Poids brut 20';Nb 40';Poids brut 40';Nb other;Poids brut other;Nb roros;Poids brut roros;Roulant divers;Poids brut roulant divers;Nb conv;Poids brut conv;Poids brut total
0;03/05/2020;09/05/2020;FRMRS;EXPORT;1772;20444456;368;6656121;702;13788335;1;2840;353;7725036;83;836653;94;464440;29473425
1;03/05/2020;09/05/2020;FRMRS;IMPORT;3083;9648865;451;1653520;1316;7995345;4;69120;349;7021124;1;50500;0;0;16789609
2;03/05/2020;09/05/2020;FRFOS;EXPORT;9923;122949549;1703;31008445;4110;91941104;13;253590;0;0;0;0;1;76904;123280043
3;03/05/2020;09/05/2020;FRFOS;IMPORT;10398;87820160;2302;31131691;4048;56688469;50;882234;0;0;0;0;0;0;88702394
