;Date début;Date fin;Nom du port;Type;Nb TEU;Poids brut TEU;Nb 20';Poids brut 20';Nb 40';Poids brut 40';Nb other;Poids brut other;Nb roros;Poids brut roros;Roulant divers;Poids brut roulant divers;Nb conv;Poids brut conv;Poids brut total
0;19/04/2020;25/04/2020;FRMRS;EXPORT;1036;11507946;252;4429679;392;7078267;2;28350;315;6456486;66;658065;15;20325;18671172
1;19/04/2020;25/04/2020;FRMRS;IMPORT;1216;8372923;280;2355403;468;6017520;6;67040;277;5915522;0;0;1;342;14355827
2;19/04/2020;25/04/2020;FRFOS;EXPORT;8432;107926542;1586;29734750;3423;78191792;7;161207;0;0;0;0;1;1543391;109631140
3;19/04/2020;25/04/2020;FRFOS;IMPORT;10238;88203799;2016;29165931;4111;59037868;71;1232703;0;0;14;1603061;0;0;91039563
