;Date début;Date fin;Nom du port;Type;Nb TEU;Poids brut TEU;Nb 20';Poids brut 20';Nb 40';Poids brut 40';Nb other;Poids brut other;Nb roros;Poids brut roros;Roulant divers;Poids brut roulant divers;Nb conv;Poids brut conv;Poids brut total
0;26/04/2020;02/05/2020;FRMRS;EXPORT;1659;16694185;315;4866927;672;11827258;3;44050;311;6579533;20;242562;93;1042303;24602633
1;26/04/2020;02/05/2020;FRMRS;IMPORT;1458;10897536;244;3623135;607;7274401;9;151270;319;6614800;1;2004;0;0;17665610
2;26/04/2020;02/05/2020;FRFOS;EXPORT;8404;107331685;1462;27661510;3471;79670175;4;89326;0;0;0;0;0;0;107421011
3;26/04/2020;02/05/2020;FRFOS;IMPORT;9558;92462669;1914;34112612;3822;58350057;42;758790;0;0;0;0;2;1135372;94356831
