candidateID;vote;stateFips;countyFips;progressReporting;progressTotal;electors;holdingParty;party;ballotOrder;fullName;incumbent;aggregable;tot_county_votes;votePct
12686;4349;05;05043;17;17;6.0;gop;gop;12.0;Donald Trump;True;False;6908;62.96
13356;2426;05;05043;17;17;6.0;gop;dem;1.0;Joe Biden;False;False;6908;35.12
13758;38;05;05043;17;17;6.0;gop;ind;13.0;Kanye West;False;True;6908;0.55
13753;27;05;05043;17;17;6.0;gop;lib;8.0;Jo Jorgensen;False;True;6908;0.39
13754;21;05;05043;17;17;6.0;gop;grn;7.0;Howie Hawkins;False;True;6908;0.3
13769;14;05;05043;17;17;6.0;gop;ind;4.0;Phil Collins;False;True;6908;0.2
13757;10;05;05043;17;17;6.0;gop;ind;11.0;Brock Pierce;False;True;6908;0.14
13759;8;05;05043;17;17;6.0;gop;oth;10.0;J.R. Myers;False;True;6908;0.12
13750;6;05;05043;17;17;6.0;gop;asp;3.0;Brian Carroll;False;True;6908;0.09
13752;4;05;05043;17;17;6.0;gop;psl;9.0;Gloria La Riva;False;True;6908;0.06
13755;3;05;05043;17;17;6.0;gop;ind;5.0;Roque De La Fuente;False;True;6908;0.04
13751;2;05;05043;17;17;6.0;gop;cst;2.0;Don Blankenship;False;True;6908;0.03
13756;0;05;05043;17;17;6.0;gop;ind;6.0;C.L. Gammon;False;True;6908;0.0
12686;34421;05;05045;51;51;6.0;gop;gop;12.0;Donald Trump;True;False;54428;63.24
13356;18347;05;05045;51;51;6.0;gop;dem;1.0;Joe Biden;False;False;54428;33.71
13753;840;05;05045;51;51;6.0;gop;lib;8.0;Jo Jorgensen;False;True;54428;1.54
13758;189;05;05045;51;51;6.0;gop;ind;13.0;Kanye West;False;True;54428;0.35
13754;159;05;05045;51;51;6.0;gop;grn;7.0;Howie Hawkins;False;True;54428;0.29
13750;91;05;05045;51;51;6.0;gop;asp;3.0;Brian Carroll;False;True;54428;0.17
13769;78;05;05045;51;51;6.0;gop;ind;4.0;Phil Collins;False;True;54428;0.14
13759;67;05;05045;51;51;6.0;gop;oth;10.0;J.R. Myers;False;True;54428;0.12
13752;61;05;05045;51;51;6.0;gop;psl;9.0;Gloria La Riva;False;True;54428;0.11
